"artist","painting_name","estimated_price","year","time_period","estimated_price_millions","materials","dimentions_cm","area_cm2","image_url","image_name"
"Roy Lichtenstein","“Blonde Waiting “, “Nurse”, “Frightened Girl”, “Sound of Music”","$105 million","1964","Post-War and Contemporary","$105","Oil and magma on canvas"," 121.9 × 121.9 cm",61913.01,"https://theartwolf.com/wp-content/uploads/2022/02/Roy_Lichtenstein_-_48x48_inch_paintings_-_1964-400x400.jpg","Blond_waiting_nurse_frightened_girl_sound_of_music"
"Jasper Johns","""Diver"" and ""According to What""","$120 million","1962 - 1964","Post-War and Contemporary","$120","Oil on canvas"," 228.6 x 431.8 cm ",98709.48,"https://theartwolf.com/wp-content/uploads/2021/09/Jasper_Johns_-_Diver_1962_and_According_to_what_1964-335x400.jpg","Diver_1962_and_According_to_what"
"Gustav Klimt","""Elisabeth Bachofen-Echt (Elisabeth Lederer)"" and ""Fredericke Maria Beer""","$110 million","1914 - 1916","1850-1945","$220","Oil on canvas"," 180 x 128 cm",46080,"https://theartwolf.com/wp-content/uploads/2022/02/Gustav_Klimt_-_Elisabeth_Bachofen-Echt_-_Fredericke_Maria_Beer-576x400.jpg","Fredericke_Maria_Beer"
"Claude Monet","""Le Portail, (soleil)"" and ""La Cathedrale de Rouen, Effet d’Apres-midi""","$105 million","1892-1893","1850-1945","$210","Oil on canvas"," 100 x 65 cm & 106 x 63 cm",13178,"https://theartwolf.com/wp-content/uploads/2023/02/Claude_Monet_-_Cathedrals_-_private_collections_-_2-523x400.jpg","Le_Portail_Cathedrale_de_Rouen"
"Cy Twombly","""Panorama"" and ""Cold Stream"".","$105 million","1955 - 1966","Post-War and Contemporary","$210","Oil and wax crayon on canvas"," 254 x 340.4 cm & 200 x  252.1 cm",136881.6,"https://theartwolf.com/wp-content/uploads/2022/02/Cy_Twombly_-_Panorama_1955_-_Cold_Stream_1966-600x243.jpg","Panorama_Cold_Stream"
"Andy Warhol","""Shot Blue Marilyn"" and ""Shot Sage Blue Marilyn""","$180 million","1964","Post-War and Contemporary","$360","Two oil on canvas","101.6 x 101.6 cm",20645.12,"https://theartwolf.com/wp-content/uploads/2022/05/Andy_Warhol_-_Shot__Blue_Marilyn_-_Shot_Sage_Blue_Marilyn_-_1964-600x322.jpg","Shot__Blue_Marilyn_-_Shot_Sage_Blue_Marilyn"
"Peter Paul Rubens","""The Death of Decius Mus"" and ""The Funeral of Decius Mus""","$170 million","1617","Painting before 1850","$340","Oil on canvas"," 288 x 497 cm & 289 x 515 cm",291971,"https://theartwolf.com/wp-content/uploads/2022/02/Peter_Paul_Rubens_-_Death_of_Decius_Mus_-_Funeral_of_Decius_Mus_-_1617-360x400.jpg","Death_of_Decius"
"Roy Lichtenstein","""Torpedo… Los!"" and ""Okay Hot-Shot, Okay!""","$120 million","1963","Post-War and Contemporary","$120","Oil and magma on canvas"," 172.7 x 203.2 cm",35092.64,"https://theartwolf.com/wp-content/uploads/2022/02/Roy_Lichtenstein_-_Torpedo-los_-_Okay_hot_shot_-_1963-600x327.jpg","Torpedo-los_-_Okay_hot_shot"
"Frida Kahlo","“Yo y mis pericos” and “Autorretrato con monos”","$105 million","1941 - 1943","1850-1945","$210","Oil on canvas"," 82 x 62.8 cm",10252.6,"https://theartwolf.com/wp-content/uploads/2022/02/Frida_Kahlo_-_Yo_y_mis_pericos_-_Autorretrato_con_monos-600x377.jpg","Yo_y_mis_pericos"
"Andy Warhol","200 soup cans","$120 million","1962","Post-War and Contemporary","$120","Oil on canvas"," 182.9 x 254.6 cm",46566.34,"https://theartwolf.com/wp-content/uploads/2021/06/Andy_Warhol_-_200-soup-cans_-_1962.jpg","200-soup-cans"
"Andy Warhol","210 Coca-cola bottles","$115 million","1962","Post-War and Contemporary","$115","Polymer and graphite on canvas"," 209.6 x 266.7 cm",55900.32,"https://theartwolf.com/wp-content/uploads/2022/02/Andy_Warhol_-_210_Coca-Cola_Bottles_-_1962-507x400.jpg","Coca-Cola_Bottles"
"Pablo Picasso","Acrobate et jeune arlequin","$110 million","1905","1850-1945","$110","Gouache on cardboard"," 105 x 76 cm",7980,"https://theartwolf.com/wp-content/uploads/2022/01/Pablo_Picasso_-_Acrobate_et_jeune_arlequin_-_1905-283x400.jpg","Acrobate_et_jeune_arlequin"
"Gustav Klimt","Adele Bloch-bauer I","$225 million","1907","1850-1945","$225","Oil on canvas"," 138 x 138 cm",19044,"https://theartwolf.com/wp-content/uploads/2021/06/Gustav_Klimt_-_Adele_Bloch_Bauer_I_-_1907_-_Oil_silver_and_gold_on_canvbas_-_140_x_140_cm-400x400.jpg","Adele_Bloch_Bauer_I"
"Gustav Klimt","Adele Bloch-bauer II","$160 million","1912","1850-1945","$160","Oil on canvas"," 190 x 120 cm",22800,"https://theartwolf.com/wp-content/uploads/2021/06/Gustav_Klimt_-_Adele_Bloch_Bauer_II_-_1912-243x400.jpg","Adele_Bloch_Bauer_II"
"Rembrandt van Rijn","An Old Woman Reading","$160 million","1655","Painting before 1850","$160","Oil on canvas"," 79 x 65 cm",5135,"https://theartwolf.com/wp-content/uploads/2022/01/Rembrandt_-_Old_Woman_Reading_-_1655-328x400.jpg","Old_Woman_Reading"
